"","sector","code","description","region","nondis","estab","employ","wage","bea.comp.st","bea.earn.st","bea.empl.st","gdp.comp.st","us.comp.gdp.ratio","us.comp.out.ratio","st.output","st.gdp.est","gdp","taxsub.est","taxsub.st","surplus.est","surplus.st","check","output","jobs.1000output.ratio","earn.output.ratio","comp.output.ratio","valueadded.output.ratio","taxsub.output.ratio","surplus.output.ratio","Code","Description","st.total.dem","rpc"
"17",17,"212230","Copper, nickel, lead, and zinc mining",34000,0,0,0,0,0,0,0,0,0.154539839407041,0.0972254604802984,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,"212230","Copper, nickel, lead, and zinc mining",333905188.769576,0
"18",18,"212310","Stone mining and quarrying",34000,0,24,574,45659412,56966345.9491263,84043252.0994969,2150.97572078907,53828395.1843993,0.281605351170569,0.176519916142558,304942333.764353,191148339.194007,181055294.915075,5525516.94347846,10998788.5427163,124558776.468331,115485007.271538,0,304942333.764353,0.00705371305530594,0.275603754526396,0.186810224890414,0.593736175230388,0.036068421222275,0.378710970844672,"212310","Stone mining and quarrying",358698424.934295,0.944286307516622
"19",19,"2123A0","Other nonmetallic mineral mining and quarrying",34000,0,33,489,28985731,36163654.0508737,53352747.900503,1832.45144157815,34171604.8156007,0.355900548616785,0.205167889105713,166554351.97266,96014476.3710236,90944705.0849249,3014858.90558173,6001211.45728375,55562575.7458267,51514992.7284619,0,166554351.97266,0.0110021228498367,0.320332355586006,0.217128244459262,0.54603619784041,0.0360315499787651,0.309298388894203,"2123A0","Other nonmetallic mineral mining and quarrying",350687912.531643,0.872508427182774
"20",20,"213111","Drilling oil and gas wells",34000,0,16,54,3485528,4119234.14441851,4199408.6122478,202.35660091047,3900379.51601963,0.467530732228755,0.305709667554934,12758443.4840248,8342509.37350411,5063578.27017059,130919.614548104,712932.079324229,2564941.90569437,226178.791326469,0,12758443.4840248,0.0158606025228585,0.329147408734146,0.32286337667885,0.396880565917845,0.055879236383099,0.0177277731103856,"213111","Drilling oil and gas wells",1487527630.06,0.00857694554790229
"21",21,"21311A","Other support activities for mining",34000,0,19,166,12599959,14890765.8555815,15180591.3877522,622.059180576631,14099620.4839804,0.477125293901023,0.328144482543641,42967720.726815,29551190.56611,17936421.7298294,603622.249087486,3287067.92067577,8775387.09090065,773821.208673531,0,42967720.726815,0.0144773604476632,0.35330222620532,0.346557034064145,0.417439450509084,0.0765008677461544,0.0180093613434471,"21311A","Other support activities for mining",1498923560.48611,0.0286657184258818
"22",22,"221100","Electric power generation, transmission, and distribution",34000,0,171,7350,867376377,1191137290.87733,1374291249.33446,7860.32656663725,1217173494.96723,0.260170980604177,0.150921267559621,8064956746.31406,4678359946.75763,5793198781.74449,1454139745.11923,1619974557.80275,2831836828.74387,2990717053.58657,0,8064956746.31406,0.000974627243999748,0.170402804697316,0.147692954636331,0.718317402556705,0.200865870550779,0.370828653849063,"221100","Electric power generation, transmission, and distribution",9830834447.34732,0.820373569457295
"23",23,"221200","Natural gas distribution",34000,0,73,3967,392210478,538608773.084702,621427378.131932,4242.43748161224,550381830.689435,0.28510815472768,0.118242965448057,4654668703.57893,1930431738.14208,2390447704.0926,438164225.158834,488133894.475502,1270747345.04691,1342042633.62074,0,4654668703.57893,0.000911437043489319,0.133506253120469,0.115713664577368,0.51355915024728,0.104869739515549,0.288321837510984,"221200","Natural gas distribution",4412638348.63387,0.893569469205052
"24",24,"221300","Water, sewage and other systems",34000,0,114,2279,197711302,271509936.037963,313258372.533613,2437.23595175052,277444674.34333,0.355153400254489,0.238896814075131,1161357782.92998,781196728.35604,967353514.162909,109413659.172957,121891547.721748,514380965.186866,543240312.79269,0,1161357782.92998,0.00209860904845501,0.269734596123596,0.233786641833125,0.83295047261179,0.104956069105792,0.4677630965904,"221300","Water, sewage and other systems",1833327514.47001,0.827207724771817
"25",24.1,"230301","Nonresidential maintenance and repair",34000,0,2334.52340024131,14675.3406845857,1003935328.20295,1270542527.78738,2015229967.10993,24239.6668918329,1183187507.95874,0.611190401315949,0.354857058588072,3334265105.69209,1935873838.02369,1951351912.69212,26339639.7417016,40867207.2985302,732388316.151203,730003250.627495,0,3334265105.69209,0.00726986790895906,0.604400041157384,0.381056241034455,0.585241980117558,0.0122567360432029,0.218939774579193,"230301","Nonresidential maintenance and repair",17136934253.7187,0.194566020755349
"26",24.2,"230302","Residential maintenance and repair",34000,0,1099.93969856806,6914.46905493355,463385331.967974,586442925.633516,930167492.932637,11420.8201518293,546122564.624984,0.659652695288195,0.347631680925269,1570980421.49497,827894085.063033,834513424.71961,4460745.44012688,6921059.30055752,279563649.40901,278653233.981589,0,1570980421.49497,0.00726986790895906,0.592093625232754,0.373297411991581,0.53120549008846,0.00440556687140081,0.177375370290368,"230302","Residential maintenance and repair",7748895713.10219,0.202736038741454
